a_first,a_second,b_first,b_second,c_first,c_second
24:02,unmapped,35:03,57:03,04:01,07:01
03:01,33:03,35:01,53:01,04:01,06:02
01:01,30:01,07:05,42:01,07:02,unmapped
03:01,23:01,15:03,15:16,02:10,14:02
23:01,33:03,07:05,57:03,07:02,unmapped
01:01,34:02,15:03,57:03,02:10,07:01
33:03,68:02,15:16,81:01,14:02,unmapped
02:01,02:05,45:01,51:01,15:02,16:01
31:01,68:01,08:01,51:01,03:04,05:01
23:01,23:01,15:03,81:01,02:10,unmapped
23:01,unmapped,15:03,53:01,02:10,04:01
02:01,03:01,07:02,44:02,05:01,07:02
03:01,30:01,27:05,53:01,02:02,04:01
33:03,unmapped,15:03,15:16,02:10,14:02
23:01,29:02,15:03,57:03,02:10,07:01
23:01,unmapped,35:01,51:01,04:01,16:01
29:02,unmapped,15:16,58:01,07:01,14:02
02:02,23:01,07:02,58:01,07:02,08:02
01:01,23:01,57:01,78:01,01:02,06:02
34:02,66:01,41:03,57:01,06:02,unmapped
33:03,36:01,53:01,53:01,04:01,04:01
03:01,30:02,42:01,53:01,04:01,unmapped
33:01,34:02,51:09,57:03,16:01,unmapped
66:01,68:02,35:01,51:01,04:01,16:01
23:01,29:02,07:02,13:02,06:02,07:02
01:01,29:02,07:02,42:01,07:01,07:02
23:01,33:03,53:01,81:01,04:01,08:02
02:01,30:01,18:01,51:01,12:03,16:01
01:02,03:01,07:02,35:01,04:01,07:02
01:01,02:01,35:01,57:03,08:02,16:01
02:02,36:01,15:10,53:01,03:02,04:01
03:01,32:01,07:02,45:01,15:05,16:01
02:05,33:03,07:02,53:01,04:01,07:02
33:01,33:01,78:01,78:01,16:01,16:01
29:02,34:02,44:03,53:01,06:02,16:01
30:01,32:01,42:01,58:02,06:02,unmapped
03:01,33:03,35:01,58:01,04:01,06:02
23:01,unmapped,15:10,53:01,03:04,04:01
29:02,30:02,41:01,57:03,07:01,unmapped
30:01,66:01,42:01,58:02,06:02,unmapped
02:01,68:02,51:01,53:01,04:01,15:02
33:01,66:01,51:01,58:02,06:02,16:01
01:01,30:02,07:02,42:01,07:01,15:05
02:01,34:02,35:01,44:03,04:01,04:01
23:01,23:01,15:03,15:03,02:10,02:10
29:02,33:03,42:01,58:01,03:02,unmapped
26:01,unmapped,08:01,58:02,03:04,06:02
03:01,29:02,49:01,58:01,07:01,08:02
03:01,30:01,08:01,42:01,07:01,unmapped
30:02,68:01,44:02,58:01,03:02,05:01
01:02,02:01,45:01,49:01,07:01,16:01
30:01,68:02,15:03,42:01,02:10,unmapped
01:01,02:02,08:01,53:01,04:01,07:01
02:01,23:01,15:07,58:01,03:03,07:01
29:02,68:02,44:04,51:01,16:01,16:01
30:02,33:03,44:03,58:01,04:01,06:02
30:01,33:01,42:01,78:01,16:01,unmapped
30:02,32:01,08:01,57:03,07:01,07:01
02:05,30:01,57:03,58:01,07:01,unmapped
02:01,03:01,51:01,58:01,07:01,16:01
66:01,68:02,15:10,58:02,03:04,06:02
32:01,unmapped,15:03,35:01,02:10,04:01
02:01,33:01,15:01,78:01,03:03,16:01
02:01,36:01,57:01,58:01,04:01,06:02
01:01,02:01,57:01,58:01,04:01,06:02
01:01,23:01,07:02,37:01,06:02,15:05
03:01,68:02,15:10,58:02,03:04,04:01
03:01,68:02,35:01,58:01,06:02,16:01
03:01,68:02,35:01,58:01,06:02,16:01
02:01,33:01,27:03,35:01,02:02,04:01
02:02,66:02,58:01,58:01,04:01,07:01
23:01,32:01,27:05,49:01,02:02,07:01
23:01,34:02,15:03,15:10,02:10,03:04
23:01,unmapped,07:02,15:03,02:10,07:02
02:02,30:02,14:02,18:01,05:01,08:02
03:01,68:01,58:02,58:02,06:02,06:02
02:02,03:01,07:02,15:16,07:02,14:02
03:01,33:01,57:03,58:01,06:02,07:01
03:01,30:01,42:01,58:01,07:01,unmapped
23:01,unmapped,15:03,53:01,02:10,04:01
30:01,30:02,08:01,42:01,03:04,unmapped
02:01,33:03,15:03,53:01,02:10,04:01
01:01,01:01,08:01,53:01,04:01,07:01
01:01,30:02,15:03,44:02,04:01,05:01
30:01,68:01,35:01,44:03,04:01,04:01
23:01,34:02,42:01,53:01,04:01,unmapped
02:01,02:01,27:05,44:02,05:01,15:02
30:01,30:02,07:02,13:02,06:02,07:02
01:02,34:02,07:02,42:01,07:02,unmapped
02:01,33:01,44:03,45:01,03:03,16:01
01:01,unmapped,08:01,58:02,01:02,06:02
34:02,unmapped,35:01,81:01,06:02,08:04
23:01,24:02,07:02,15:16,07:02,12:02
02:01,02:01,44:03,44:03,03:03,07:01
29:02,30:01,15:03,42:02,02:10,unmapped
23:01,unmapped,42:01,45:01,06:02,unmapped
33:03,unmapped,15:03,53:01,02:10,04:01
03:01,30:02,07:02,18:01,07:01,07:02
02:01,34:02,40:01,44:03,03:04,04:01
02:02,03:01,15:16,58:01,04:01,16:01
02:04,23:01,07:02,08:01,02:02,07:02
02:01,23:01,07:02,44:02,05:01,07:02
29:02,36:01,49:01,51:01,07:01,16:01
02:01,02:01,08:01,18:01,07:01,07:01
33:01,unmapped,57:03,78:01,02:02,16:01
23:01,34:02,07:02,35:01,07:02,12:02
30:02,30:02,18:01,57:04,05:01,unmapped
03:01,32:01,08:01,35:01,06:02,07:01
23:01,24:02,08:01,35:05,03:04,04:01
01:01,03:01,49:01,58:01,03:02,07:01
32:01,33:01,40:02,78:01,15:02,16:01
23:01,23:01,15:10,53:01,04:01,08:02
03:01,30:01,27:05,42:01,01:02,unmapped
03:01,23:01,15:03,53:01,02:10,08:02
02:01,30:01,42:01,45:01,16:01,unmapped
03:01,68:02,15:10,44:02,03:02,05:01
02:01,30:02,27:03,45:01,07:01,16:01
02:01,69:01,44:03,45:01,06:02,07:01
29:02,33:01,14:02,44:03,08:02,16:01
02:01,30:01,42:01,45:01,16:01,unmapped
23:01,34:02,49:01,81:01,07:01,08:04
02:01,36:01,44:03,57:03,04:01,07:01
02:01,23:01,35:01,45:01,04:01,16:01
36:01,unmapped,57:02,58:01,04:01,unmapped
23:01,23:01,42:01,45:01,16:01,unmapped
23:01,33:03,14:03,53:01,04:01,08:04
03:01,80:01,35:01,45:01,04:01,16:01
01:01,68:02,08:01,53:01,04:01,07:01
33:01,34:02,53:01,81:01,04:01,08:02
01:01,02:01,08:01,39:10,07:01,12:03
01:02,23:01,08:01,49:01,07:01,07:02
30:01,36:01,39:10,53:01,04:01,12:03
02:01,unmapped,35:01,35:03,04:01,04:01
30:01,30:02,27:03,42:02,07:01,unmapped
01:01,23:01,15:10,81:01,03:02,unmapped
23:01,68:02,44:03,81:01,04:01,unmapped
02:01,31:01,58:01,58:01,04:01,06:02
32:01,33:01,40:02,78:01,15:02,16:01
30:01,34:02,15:03,42:01,02:10,unmapped
66:01,80:01,42:01,58:02,06:02,unmapped
23:01,33:03,15:03,81:01,02:10,unmapped
02:05,30:01,15:03,42:01,02:10,unmapped
02:01,30:01,40:01,42:01,03:04,unmapped
01:01,33:03,41:01,58:01,03:02,unmapped
11:01,30:02,40:01,57:03,03:04,unmapped
36:01,unmapped,44:03,53:01,04:01,04:01
02:01,24:02,15:01,58:02,03:03,06:02
02:01,03:01,15:10,81:01,04:01,unmapped
68:01,unmapped,08:01,58:01,07:01,07:01
03:01,23:01,14:02,35:01,04:01,08:02
33:03,68:02,15:10,53:01,03:04,06:02
02:01,03:01,27:05,53:01,01:02,04:01
02:01,03:01,07:02,14:02,07:02,08:02
30:01,33:03,15:10,18:01,03:04,05:01
30:01,33:03,42:01,53:01,04:01,unmapped
11:01,32:01,15:03,51:01,02:10,04:01
68:01,unmapped,41:02,50:01,06:02,unmapped
02:01,24:02,07:02,45:01,07:02,12:02
23:01,unmapped,07:02,35:01,04:01,07:02
01:01,30:02,27:03,35:01,02:02,16:01
33:01,68:02,14:02,53:01,04:01,08:02
02:01,02:01,07:02,07:02,07:02,07:02
30:01,36:01,07:02,53:01,07:02,08:02
01:01,31:01,15:10,27:05,03:04,15:02
03:01,30:02,40:02,53:01,03:04,04:01
23:01,29:02,07:02,44:03,07:02,12:02
23:01,30:02,07:02,45:01,04:01,07:02
02:01,32:01,14:01,45:01,08:02,16:01
03:01,30:02,14:03,58:02,06:02,08:02
03:01,23:01,45:01,57:02,06:02,unmapped
24:02,30:01,45:01,53:01,04:01,06:02
02:01,unmapped,08:01,42:01,03:04,unmapped
02:14,unmapped,14:01,15:03,02:10,08:04
30:02,33:03,15:16,50:01,04:01,14:02
02:01,29:02,15:01,35:01,03:04,08:02
01:01,02:02,35:01,53:01,04:01,16:01
02:02,33:03,14:02,44:03,08:02,14:03
01:02,30:01,07:02,42:01,07:02,unmapped
03:01,33:03,58:01,58:01,04:01,06:02
01:01,02:02,35:01,44:03,03:03,04:01
33:03,68:02,08:01,53:01,04:01,07:01
02:01,23:01,15:03,58:01,02:10,07:01
23:01,36:01,07:02,08:01,07:01,07:02
02:01,02:02,15:16,51:01,14:02,14:02
02:01,33:03,39:10,53:01,08:02,12:03
02:05,66:01,41:01,57:03,07:01,unmapped
24:03,68:02,18:01,35:01,02:02,04:01
03:01,33:03,15:16,39:10,12:03,16:01
11:01,33:03,15:10,51:01,03:04,15:02
23:01,23:01,07:02,52:01,07:02,12:02
03:01,30:02,08:01,53:01,04:01,07:01
02:02,unmapped,15:03,53:01,02:10,04:01
02:02,68:02,07:02,52:01,07:02,16:01
34:02,68:02,45:01,49:01,07:01,07:01
30:02,32:01,39:01,57:03,12:03,unmapped
34:02,68:02,15:16,42:01,14:02,unmapped
30:02,66:02,44:03,58:01,07:01,14:03
30:02,unmapped,45:01,53:01,04:01,16:01
30:02,34:02,08:01,35:01,04:01,07:01
36:01,68:02,35:01,53:01,04:01,04:01
30:01,68:02,15:10,42:01,03:04,unmapped
02:01,02:02,14:02,45:01,08:02,16:01
30:01,30:02,42:01,57:03,07:01,unmapped
30:01,unmapped,15:03,44:03,02:10,04:01
26:01,33:03,44:03,58:01,02:02,03:02
02:01,30:01,15:10,53:01,03:04,16:01
02:01,03:01,35:01,45:01,04:01,16:01
03:01,66:01,07:02,58:02,06:02,07:02
23:01,unmapped,07:02,39:10,07:02,12:03
03:01,68:02,07:02,53:01,04:01,07:02
24:02,30:01,40:01,57:03,03:04,unmapped
24:02,29:02,14:01,49:01,07:01,08:02
36:01,68:15,15:10,53:01,03:04,04:01
02:02,68:02,15:10,53:01,03:04,04:01
01:02,33:03,49:01,58:01,03:02,07:01
01:01,30:01,08:01,42:01,07:01,unmapped
68:02,68:02,07:02,35:01,04:01,07:02
02:01,unmapped,15:01,42:01,03:04,unmapped
01:01,30:02,08:01,57:03,07:01,07:01
01:01,02:01,14:02,81:01,08:02,unmapped
02:01,23:01,08:01,42:01,07:01,unmapped
02:01,30:02,35:01,49:01,04:01,07:01
01:01,33:03,07:02,41:01,07:02,unmapped
23:01,unmapped,07:02,58:02,06:02,15:05
33:03,33:03,40:01,53:01,03:04,04:01
29:02,68:02,15:18,58:01,03:04,07:01
02:01,33:03,15:10,44:03,03:03,03:04
30:02,31:01,57:03,58:01,04:01,07:01
02:01,02:05,07:05,52:01,07:02,12:02
36:01,80:01,14:02,15:03,02:10,08:02
01:01,30:01,42:01,81:01,unmapped,unmapped
02:01,02:02,18:01,45:01,05:01,16:01
23:01,33:03,53:01,78:01,06:02,16:01
30:02,36:01,15:03,53:01,02:10,04:01
02:01,33:03,58:01,58:01,03:02,04:01
30:01,30:02,13:02,42:01,06:02,unmapped
29:02,30:02,58:01,58:01,04:01,07:01
30:02,66:01,35:01,53:01,04:01,07:01
11:01,unmapped,35:01,53:01,04:01,04:01
23:01,unmapped,35:01,44:03,04:01,04:01
03:01,23:01,53:01,58:02,06:02,06:02
30:04,33:03,37:01,58:01,02:14,07:01
30:02,68:02,53:01,58:01,02:10,04:01
02:01,80:01,35:01,57:03,07:01,16:01
03:01,80:01,07:02,42:01,07:02,unmapped
11:01,30:02,07:02,58:01,07:01,07:02
02:05,03:01,53:01,58:01,03:04,04:01
02:01,24:02,07:02,51:01,07:02,15:02
29:02,unmapped,44:03,58:02,03:03,06:02
01:01,02:05,08:01,15:10,03:04,07:01
02:01,02:01,18:01,40:01,02:02,03:04
02:01,23:01,35:01,81:01,04:01,08:04
33:03,33:03,42:01,58:01,07:01,unmapped
30:01,36:01,42:01,53:01,04:01,unmapped
01:01,23:01,15:03,15:10,02:10,03:04
31:01,68:01,42:01,57:01,07:01,unmapped
03:01,unmapped,39:01,53:01,02:02,04:01
02:01,68:02,15:10,45:01,03:04,16:01
02:01,03:01,07:02,14:02,07:02,08:02
02:01,03:01,15:16,35:01,16:01,16:01
02:02,unmapped,15:03,52:01,02:10,16:01
02:02,66:01,35:01,53:01,04:01,04:01
01:02,23:01,44:03,49:01,04:01,07:01
30:02,33:03,35:01,42:01,04:01,unmapped
33:03,36:01,35:01,53:01,04:01,16:01
30:01,30:01,52:01,57:03,16:01,unmapped
unmapped,unmapped,14:02,53:01,04:01,08:02
